No.,Week,Department,Task,Start Date,End Date,Progress,Stores Unable,Status
58,W38,"Import","Kiểm tra giá & label Đồ khô",2025-09-18,2025-09-20,"0 / 0",0,"On Progress"
59,W38,"Marketing","Kiểm tra giá & label Mẹ & Bé",2025-09-19,2025-09-22,"0 / 0",0,"On Progress"
60,W38,"Import","Soát OOS & bổ sung hàng Bánh mì",2025-09-19,2025-09-19,"0 / 0",0,"On Progress"
61,W38,"Admin","Đối chiếu tồn kho Cá",2025-09-19,2025-09-21,"0 / 0",0,"On Progress"
62,W38,"Order","Chụp ảnh POSM chương trình Anniversary",2025-09-19,2025-09-21,"0 / 0",0,"Done"
63,W38,"Import","Soát OOS & bổ sung hàng Gia vị",2025-09-19,2025-09-21,"0 / 0",0,"Done"
64,W38,"Marketing","Báo cáo doanh thu ca Chiều",2025-09-19,2025-09-22,"0 / 0",0,"On Progress"
65,W38,"Admin","Test DWS ca Sáng tại Kho",2025-09-19,2025-09-22,"0 / 0",0,"On Progress"
66,W38,"Marketing","Kiểm tra giá & label Bánh mì",2025-09-19,2025-09-19,"0 / 0",0,"Done"
67,W38,"Operations","Chụp ảnh POSM chương trình Back to School",2025-09-19,2025-09-19,"0 / 0",0,"On Progress"
68,W38,"Import","Soát OOS & bổ sung hàng Đồ uống",2025-09-19,2025-09-22,"0 / 0",0,"On Progress"
69,W38,"Operations","Kiểm kê nhanh khu Perishable",2025-09-19,2025-09-21,"0 / 0",0,"Not Yet"
70,W38,"Marketing","Kiểm kê nhanh khu Bakery",2025-09-19,2025-09-22,"0 / 0",0,"Done"
71,W38,"Human Resources","Soát OOS & bổ sung hàng Sữa",2025-09-19,2025-09-20,"0 / 0",0,"On Progress"
72,W38,"Admin","Kiểm kê nhanh khu Grocery",2025-09-19,2025-09-19,"0 / 0",0,"Done"
73,W38,"Admin","Báo cáo phản hồi KH – Bakery",2025-09-19,2025-09-19,"0 / 0",0,"On Progress"
74,W38,"Operations","Update POG quầy Đồ khô",2025-09-19,2025-09-22,"0 / 0",0,"On Progress"
75,W38,"Operations","Báo cáo phản hồi KH – Delica",2025-09-19,2025-09-22,"0 / 0",0,"On Progress"
76,W38,"Import","Test DWS ca Sáng tại Perishable",2025-09-19,2025-09-20,"0 / 0",0,"Done"
77,W38,"Quality Control","Soát OOS & bổ sung hàng Thịt",2025-09-20,2025-09-20,"0 / 0",0,"Done"
78,W38,"Admin","Báo cáo phản hồi KH – Front-end",2025-09-20,2025-09-23,"0 / 0",0,"Not Yet"
79,W38,"Import","Kiểm tra trưng bày quầy Sữa",2025-09-20,2025-09-20,"0 / 0",0,"Done"
80,W38,"Import","Kiểm kê nhanh khu Front-end",2025-09-20,2025-09-20,"0 / 0",0,"Done"
81,W38,"Operations","Kiểm tra giá & label Sữa",2025-09-20,2025-09-20,"0 / 0",0,"On Progress"
82,W38,"Quality Control","Chụp ảnh POSM chương trình Tháng 8",2025-09-20,2025-09-20,"0 / 0",0,"On Progress"
83,W38,"Order","Checklist an toàn thực phẩm – Grocery",2025-09-20,2025-09-20,"0 / 0",0,"On Progress"
84,W38,"Operations","Đào tạo nhân viên mới tại Delica",2025-09-20,2025-09-21,"0 / 0",0,"On Progress"
85,W38,"Marketing","Kiểm tra hạn sử dụng nhóm Bánh mì",2025-09-20,2025-09-22,"0 / 0",0,"Not Yet"
86,W38,"Operations","Kiểm tra hạn sử dụng nhóm Đông lạnh",2025-09-20,2025-09-22,"0 / 0",0,"On Progress"
87,W38,"Import","Soát OOS & bổ sung hàng Đông lạnh",2025-09-20,2025-09-23,"0 / 0",0,"On Progress"
88,W38,"Order","Update POG quầy Rau",2025-09-21,2025-09-21,"0 / 0",0,"Not Yet"
89,W38,"Import","Test DWS ca Chiều tại Front-end",2025-09-21,2025-09-21,"0 / 0",0,"On Progress"
90,W38,"Operations","Kiểm tra vệ sinh khu Front-end",2025-09-21,2025-09-22,"0 / 0",0,"Done"
91,W38,"Admin","Checklist an toàn thực phẩm – Perishable",2025-09-21,2025-09-24,"0 / 0",0,"Done"
92,W38,"Operations","Chụp ảnh POSM chương trình Cuối tuần",2025-09-21,2025-09-21,"0 / 0",0,"On Progress"
93,W38,"Human Resources","Test DWS ca Chiều tại Grocery",2025-09-21,2025-09-24,"0 / 0",0,"On Progress"
94,W38,"Operations","Update POG quầy Mẹ & Bé",2025-09-21,2025-09-21,"0 / 0",0,"Not Yet"
95,W38,"Human Resources","Kiểm tra hạn sử dụng nhóm Đồ khô",2025-09-21,2025-09-23,"0 / 0",0,"On Progress"
96,W38,"Admin","Theo dõi đơn hàng online tại Delica",2025-09-21,2025-09-23,"0 / 0",0,"Not Yet"
97,W38,"Operations","Theo dõi đơn hàng online tại Fresh",2025-09-21,2025-09-22,"0 / 0",0,"On Progress"
98,W38,"Order","Kiểm kê nhanh khu Kho",2025-09-21,2025-09-23,"0 / 0",0,"Not Yet"
99,W38,"Order","Kiểm tra giá & label Cá",2025-09-21,2025-09-23,"0 / 0",0,"Not Yet"
100,W38,"Human Resources","Kiểm tra hạn sử dụng nhóm Gia vị",2025-09-21,2025-09-22,"0 / 0",0,"Done"
101,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
102,W38,"Admin","Kiểm kê hàng tồn kho định kỳ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
103,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
104,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
105,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
106,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
107,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
108,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
109,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
110,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
111,W38,"Admin","Gửi email báo cáo tuần cho BGĐ",2025-09-15,2025-09-15,"0 / 0",0,"Done"
112,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
113,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
114,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
115,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
116,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
117,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
118,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
119,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
120,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
121,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
122,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
123,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
124,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
125,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
126,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
127,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
128,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
129,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
130,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
131,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
132,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
133,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
134,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
135,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
136,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
137,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
138,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
139,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Not Yet"
140,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"Done"
141,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"On Progress"
142,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-15,2025-09-15,"0 / 0",0,"On Progress"
143,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-17,2025-09-17,"0 / 0",0,"Not Yet"
144,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-17,2025-09-17,"0 / 0",0,"Not Yet"
145,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-17,2025-09-17,"0 / 0",0,"Not Yet"
146,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-17,2025-09-17,"0 / 0",0,"Not Yet"
147,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-17,2025-09-17,"0 / 0",0,"Not Yet"
148,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-17,2025-09-17,"0 / 0",0,"Not Yet"
149,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
150,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
151,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
152,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
153,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
154,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
155,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
156,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
157,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
158,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
159,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
160,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
161,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
162,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
163,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Done"
164,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Not Yet"
165,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-18,2025-09-18,"0 / 0",0,"Not Yet"
166,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
167,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
168,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
169,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
170,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
171,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
172,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
173,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
174,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
175,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
176,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
177,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
178,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
179,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
180,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
181,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
182,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
183,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
184,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
185,W38,"Admin","Test DWS ca Tối tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
186,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
187,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
188,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
189,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
190,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
191,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
192,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
193,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
194,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
195,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
196,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
197,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
198,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
199,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
200,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
201,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
202,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
203,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
204,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
205,W38,"Admin","Test DWS ca Chiều tại cửa hàng",2025-09-19,2025-09-19,"0 / 0",0,"Not Yet"
